tamaño de la matriz	Solve takes: [s]	Eigen vectors takes: [s]	Accuracy of solution	The second component of an eigenvector is:
4	0.000145359	0.000707633	3.17532e-15	(0.0916551,0)
8	0.000251818	0.00510339	4.16334e-16	(-0.154885,0)
16	0.000925246	0.0175388	3.94503e-15	(0.335783,0)
32	0.00223897	0.099149	8.96827e-14	(-0.0227056,-0.118221)
64	0.00991259	0.600631	1.22401e-14	(0.0221384,-0.0196945)
128	0.057265	4.32408	4.7398e-13	(-0.133551,0.00116218)
256	0.404111	31.1622	1.05473e-13	(0.0209563,0)
512	3.19436	245.847	5.66134e-13	(-0.0547072,0)
1024	24.213	1999.73	1.76143e-12	(-0.0450726,0)
2048	212.469	15589.1	1.03831e-11	(0.0049298,-0.000493344)
